0.00000	-0.00174
0.10000	-6.91293
0.20000	-11.86552	
0.30000	-15.78610
0.40000	-19.02990
0.50000	-21.78220
0.60000	-24.15590
0.70000	-26.22650
0.80000	-28.04780
0.90000	-29.65980
1.00000	-31.09340
1.10000	-32.37280
1.20000	-33.51770
1.30000	-34.54430
1.40000	-35.46600
1.50000	-36.29390
1.60000	-37.03770
1.70000	-37.70562
1.80000	-38.30471
1.90000	-38.84120
2.00000	-39.32030
2.10000	-39.74700
2.20000	-40.12530
2.30000	-40.45910
2.40000	-40.75150
2.50000	-41.00560
2.60000	-41.22400
2.70000	-41.40910
2.80000	-41.56300
2.90000	-41.68780
3.00000	-41.78510
3.10000	-41.85660
3.20000	-41.90380
3.30000	-41.92790
3.40000	-41.93020
3.50000	-41.91170
3.60000	-41.87360
3.70000	-41.81673
3.80000	-41.74190
3.90000	-41.65000
4.00000	-41.54170
4.10000	-41.54170
4.20000	-41.54170
4.30000	-41.54170
4.40000	-41.54170
4.50000	-41.54170
4.60000	-41.54170
4.70000	-41.54170
4.80000	-41.54170
4.90000	-41.54170
5.00000	-41.54170
5.10000	-41.65000
5.20000	-41.74190
5.30000	-41.81673
5.40000	-41.87360
5.50000	-41.91170
5.60000	-41.93020
5.70000	-41.92790
5.80000	-41.90380
5.90000	-41.85660
6.00000	-41.78510
6.10000	-41.68780
6.20000	-41.56300
6.30000	-41.40910
6.40000	-41.22400
6.50000	-41.00560
6.60000	-40.75150
6.70000	-40.45910
6.80000	-40.12530
6.90000	-39.74700
7.00000	-39.32030
7.10000	-38.84120
7.20000	-38.30471
7.30000	-37.70562
7.40000	-37.03770
7.50000	-36.29390
7.60000	-35.46600
7.70000	-34.54430
7.80000	-33.51770
7.90000	-32.37280
8.00000	-31.09340
8.10000	-29.65980
8.20000	-28.04780
8.30000	-26.22650
8.40000	-24.15590
8.50000	-21.78220
8.60000	-19.02990
8.70000	-15.78610
8.80000	-11.86552
8.90000	-6.91293
9.00000	-0.00174
